id,gtdb_id,db_proka_id,uniprot_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_phylum,ncbi_class,ncbi_order,ncbi_family,ncbi_genus,ncbi_species,tstart,tend,evalue,bits
A0A1H7H3G6,,,A0A1H7H3G6,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax larsenii,1,290,5.7039999999999994e-188,590
M0GTD3,NZ_AOLI01000034.1_29,WP_007545272.1@GCF_000336955.1,M0GTD3,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax larsenii,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax larsenii,1,290,7.391e-185,581
NZ_AOLK01000012.1_176,NZ_AOLK01000012.1_176,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax elongans,,,,,,,1,289,5.302999999999998e-175,552
M0HUC4,,,M0HUC4,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax elongans,1,272,1.169e-165,526
M0I6U3,NZ_AOLN01000018.1_554,,M0I6U3,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax mucosum,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mucosum,1,290,2.454e-141,455
I3R2Q4,NC_017941.2_785,WP_004057439.1@GCF_000306765.2,I3R2Q4,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax mediterranei,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,1,290,3.791e-139,449
A0A371M0N6,,,A0A371M0N6,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-4N,1,290,4.212e-136,440
A0A871BD94,,,A0A871BD94,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax gibbonsii,1,290,4.212e-136,440
A0A371N295,NZ_AOLJ01000011.1_106,WP_004972615.1@GCF_000336775.1,A0A371N295,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax gibbonsii,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-6N,1,290,5.312e-136,440
A0A371MMW4,,,A0A371MMW4,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-12N,1,290,7.909e-136,439
